image,group_idx,median_m,mean_m,count
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1022_right.jpg",0,31.842658772220926,31.842658772220926,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1022_right.jpg",1,15.192762155336784,15.192762155336784,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1023_left.jpg",0,27.354768867209756,27.354768867209756,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1023_left.jpg",1,18.250546915888574,18.250546915888574,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1023_left.jpg",2,5.319989360703974,5.319989360703974,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1023_right.jpg",0,9.479825555091093,9.492705802563997,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1023_right.jpg",1,36.52499403203236,36.52499403203236,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1024_left.jpg",0,8.903635549110183,9.558317645949252,16
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1024_left.jpg",1,18.595654984288746,18.595654984288746,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1024_right.jpg",0,10.144385984776875,10.193533052483398,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1024_right.jpg",1,19.267313423325426,19.267313423325426,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1024_right.jpg",2,175.28820566671163,175.28820566671163,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1025_left.jpg",0,27.918135993692488,27.8172707989991,23
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1025_left.jpg",1,115.57680928436793,115.57680928436793,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1025_left.jpg",2,26.254729944637152,26.254729944637152,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1025_left.jpg",3,32.21443697169347,32.21443697169347,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1026_left.jpg",0,12.851860924932264,12.870042676660594,6
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1026_left.jpg",1,13.363871834390117,13.363871834390117,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1026_left.jpg",2,13.322289642404572,13.322289642404572,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1026_left.jpg",3,14.778165938021665,14.778165938021665,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1026_left.jpg",4,13.175065619916296,13.175065619916296,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1027_left.jpg",0,5.59770040121218,5.59770040121218,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1027_left.jpg",1,5.861615627557401,5.861615627557401,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1027_left.jpg",2,21.376178969409303,21.376178969409303,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1027_left.jpg",3,17.30387586086887,17.30387586086887,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",0,3.9506091451527365,3.9183423421295034,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",1,3.8049968790367634,3.8049968790367634,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",2,19.802106936587776,19.802106936587776,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",3,4.004915630744303,4.004915630744303,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",4,3.9324785618927995,3.9324785618927995,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",5,20.439978997141786,20.439978997141786,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_left.jpg",6,5.014056732075423,5.014056732075423,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1028_right.jpg",0,23.480990805687338,23.480990805687338,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1029_left.jpg",0,6.831157101067248,7.081415429221951,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1029_left.jpg",1,4.369840429380668,4.101969437194622,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1029_left.jpg",2,52.92338923437896,52.92338923437896,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1029_right.jpg",0,24.429113043299058,23.57569723615414,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1030_left.jpg",0,12.359602318577966,12.208388204118293,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1030_left.jpg",1,11.18547396902674,10.741480095844253,3
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1031_left.jpg",0,12.500752999896399,12.500752999896399,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1031_left.jpg",1,34.95779385889546,34.95779385889546,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1031_right.jpg",0,24.40893387706844,24.55131231694281,9
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1031_right.jpg",1,104.26926813887036,104.26926813887036,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1031_right.jpg",2,63.320827510582816,60.957286838203004,6
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_left.jpg",0,15.260521190169904,15.260521190169904,2
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_left.jpg",1,14.531719788860865,14.531719788860865,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_left.jpg",2,17.329799410606167,17.596998365035063,5
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_left.jpg",3,18.535922198904778,18.535922198904778,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_right.jpg",0,11.804130864224625,12.85675330919282,4
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_right.jpg",1,12.26558405280481,12.26558405280481,1
"/w/PROJ/Gdańsk, Poland/save_rgb/imgs/1032_right.jpg",2,4.284675345745219,4.284675345745219,2
